Playing again the veteran computer there is an improvement.
Note: My algorithm works magically with a novice computer because
detecting my own pattern is much easier than trying a special pattern in a database
of 200000 users using only a small sample of data.

Human  Computer
S   R
P   R
R   S
S   R
P   P
P   R
R   R
R   P
S   P
P   S
R   P
S   R
P   S
R   P
R   R
P   P
R   P
P   P
S   P
R   R
P   S
S   R
R   P
P   S
P   R
S   S
S   R
R   P
S   S
P   P
S   P
R   R
P   S
S   R
R   P
P   S
P   R
S   S
S   R
R   P
S   S
R   S
P   P
S   P
R   S
P   P
R   P
P   P
S   P
R   R
P   S
S   R
R   P
P   S
P   R
S   S
S   R
R   P
S   S
P   P
S   P
R   R
P   S
S   R
R   P
P   S
P   R
S   S
S   R
R   P
S   S
R   S
P   P
S   P
R   S
S   R
R   P
P   S
P   R
S   S
S   R
R   P
S   S
R   S
P   P
S   P
R   S
P   P
S   P
R   S
S   R
R   P
P   S
P   R
S   S
S   R
R   P
P   R
S   P
P   R

Personal Wins 30
Ties 22
Computer Wins 44
